dataset,positive_class,negative_class,seed,loss,best_epoch,best_val_loss,train_n_positive,train_n_negative,pos_weight,epochs_run,threshold,Precision_Bombus,Recall_Bombus,F1_Bombus,Precision_Apis,Recall_Apis,F1_Apis,F2_Apis,Macro_F1,Accuracy,Balanced_Accuracy,MCC,AUC,Average_Precision,Brier,ECE,Log_Loss,Prob_Mean_All,Prob_SD_All,Prob_Mean_Bombus,Prob_SD_Bombus,Prob_Mean_Apis,Prob_SD_Apis,Probability_Collapse,Single_Class_Prediction,TN,FP,FN,TP,N_Test,N_Test_Positive,N_Test_Negative,runtime_seconds,Precision_Frog,Recall_Frog,F1_Frog,Precision_Bird,Recall_Bird,F1_Bird,F2_Bird,Prob_Mean_Frog,Prob_SD_Frog,Prob_Mean_Bird,Prob_SD_Bird
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,42,Soft-F2,1,0.4337283317133677,463,1759,3.799136069114471,6,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.3960678000889407,0.17626533593438376,0.7917713262127942,0.7917695939290634,12.580144772884605,0.9999979734420776,3.7316593079594895e-05,,,,,True,True,0,943,0,248,1191,248,943,3.142120122909546,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.9999998807907104,3.828314220299944e-06,0.999990701675415,8.103025174932554e-05
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,42,Weighted BCE,10,0.7890432434116336,463,1759,3.799136069114471,15,0.53,,,,,,,,0.7216107097322566,0.7968094038623006,0.7483558820511066,0.45321479509781576,0.8386027776827558,0.6181631861081512,0.14778543052946216,0.16244260129760435,0.46062443723528884,0.37067097425460815,0.2552245557308197,,,,,False,False,784,159,83,165,1191,248,943,6.97338080406189,0.9042675893886967,0.8313891834570519,0.8662983425414365,0.5092592592592593,0.6653225806451613,0.5769230769230769,0.6268996960486323,0.3020836114883423,0.21009011566638947,0.6314689517021179,0.2430924028158188
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,73,Soft-F2,1,0.43312643500540754,463,1759,3.799136069114471,6,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.46432328190743327,0.19676747252762236,0.7917716098342181,0.7917683422315231,12.615682149417019,0.9999967217445374,9.567942470312119e-05,,,,,True,True,0,943,0,248,1191,248,943,3.067370891571045,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,3.2112751569002285e-07,0.9999842643737793,0.0002092055365210399
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,73,Weighted BCE,8,0.8526947867098472,463,1759,3.799136069114471,13,0.51,,,,,,,,0.7143691983308225,0.7942905121746432,0.7363638695994252,0.43608720763036823,0.8180267163821706,0.5417426120169706,0.15276826113588468,0.14661063565102372,0.4742565705539661,0.354839026927948,0.2621421813964844,,,,,False,False,788,155,90,158,1191,248,943,6.036021947860718,0.89749430523918,0.8356309650053022,0.8654585392641406,0.5047923322683706,0.6370967741935484,0.5632798573975044,0.6053639846743295,0.29022806882858276,0.22413355112075806,0.6005169749259949,0.2505318820476532
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,101,Soft-F2,2,0.43357867431297575,463,1759,3.799136069114471,7,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.47836776930181646,0.20120646722036648,0.7917716162870309,0.7917716204869858,12.620171941618716,1.0,1.974633960344363e-06,,,,,True,True,0,943,0,248,1191,248,943,3.310081720352173,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,8.152176178555237e-08,0.9999997019767761,4.313097633712459e-06
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,101,Weighted BCE,16,0.9642915597064889,463,1759,3.799136069114471,21,0.49,,,,,,,,0.6766990589617166,0.7329974811083123,0.7422348031334451,0.40644581610921554,0.8006790271268772,0.5741987617179003,0.24392459642133327,0.3417700396226695,0.6878754978482831,0.54999840259552,0.1321580708026886,,,,,False,False,685,258,60,188,1191,248,943,9.254498481750488,0.9194630872483222,0.7264050901378579,0.8116113744075829,0.42152466367713004,0.7580645161290323,0.5417867435158501,0.6536856745479833,0.5151289701461792,0.09015596657991409,0.6825866103172302,0.17540961503982544
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,137,Soft-F2,6,0.43699692650664623,463,1759,3.799136069114471,11,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.4899193548387097,0.2049308120892879,0.7917716205107728,0.7917714416730515,12.622728332823115,0.9999998211860657,4.873808393313084e-06,,,,,True,True,0,943,0,248,1191,248,943,5.043484449386597,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,0.0,0.9999991655349731,1.0652514902176335e-05
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,137,Weighted BCE,10,0.7424385770619344,463,1759,3.799136069114471,15,0.5,,,,,,,,0.7216107097322566,0.7968094038623006,0.7483558820511066,0.45321479509781576,0.8366614784661172,0.592447097297923,0.1396509813571003,0.12417134971027109,0.43770581398379976,0.33239975571632385,0.27099940180778503,,,,,False,False,784,159,83,165,1191,248,943,6.760690927505493,0.9042675893886967,0.8313891834570519,0.8662983425414365,0.5092592592592593,0.6653225806451613,0.5769230769230769,0.6268996960486323,0.2603603005409241,0.22515742480754852,0.6063238382339478,0.25526121258735657
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,211,Soft-F2,3,0.43150383491310285,463,1759,3.799136069114471,8,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.48640662949406493,0.2037928350708465,0.7917716211839005,0.7917707264173142,12.62272906463059,0.9999991059303284,2.9937680665170774e-05,,,,,True,True,0,943,0,248,1191,248,943,3.854405641555786,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,3.881988508425138e-09,0.9999955892562866,6.549054523929954e-05
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,211,Weighted BCE,13,0.7840972083935634,463,1759,3.799136069114471,18,0.59,,,,,,,,0.7133655808113237,0.7875734676742233,0.7440093387609893,0.4399205449998654,0.8220846303834707,0.5589097766453522,0.17423493489046582,0.18805684478316959,0.5392582959852423,0.3962852358818054,0.30738916993141174,,,,,False,False,772,171,82,166,1191,248,943,8.196038722991943,0.9039812646370023,0.8186638388123012,0.85920979410128,0.49258160237388726,0.6693548387096774,0.5675213675213675,0.6245297215951844,0.3201977014541626,0.2677510678768158,0.6856018900871277,0.2746928036212921
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,307,Soft-F2,2,0.4318865486186185,463,1759,3.799136069114471,7,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.4798387096774194,0.2017002924420215,0.7917716867169015,0.7917629182088486,12.62273688988342,0.9999912977218628,0.0002572043740656227,,,,,False,True,0,943,0,248,1191,248,943,3.60988450050354,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,0.0,0.9999582171440125,0.0005624196492135525
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,307,Weighted BCE,5,0.8734860214398061,463,1759,3.799136069114471,10,0.58,,,,,,,,0.7130560483606019,0.8060453400503779,0.718526579550508,0.4266654929402468,0.8014743611671741,0.5520567706957121,0.16087523978570265,0.1687338958884567,0.49453581568957655,0.376962274312973,0.245571106672287,,,,,False,False,819,124,107,141,1191,248,943,4.650316953659058,0.8844492440604752,0.8685047720042418,0.8764044943820225,0.5320754716981132,0.5685483870967742,0.5497076023391813,0.5608591885441527,0.3183782398700714,0.20798330008983612,0.5997234582901001,0.24991297721862793
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,401,Soft-F2,2,0.4341319855168569,463,1759,3.799136069114471,7,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.4914993329456436,0.20544542439978353,0.7917716532818682,0.7917652427899948,12.617811283610743,0.999993622303009,0.00020139780826866627,,,,,False,True,0,943,0,248,1191,248,943,3.9537546634674072,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,1.0567283226237123e-07,0.9999692440032959,0.0004405048384796828
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,401,Weighted BCE,10,0.7845967253335089,463,1759,3.799136069114471,15,0.59,,,,,,,,0.7156556768721702,0.8144416456759026,0.7134274621147334,0.43141144130989423,0.8073880545958335,0.5529255046618177,0.15171791981117427,0.13947421954170586,0.4732005143591287,0.34770262241363525,0.26289650797843933,,,,,False,False,836,107,114,134,1191,248,943,6.7683000564575195,0.88,0.8865323435843054,0.8832540940306391,0.5560165975103735,0.5403225806451613,0.5480572597137015,0.5433901054339011,0.28346753120422363,0.2201777547597885,0.591951310634613,0.2687671482563019
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,509,Soft-F2,1,0.4317639392914532,463,1759,3.799136069114471,6,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.4192714569151302,0.1829905788803079,0.7917718995252438,0.7917447387921921,12.598997795462582,0.9999731183052063,0.0007185616996139288,,,,,False,True,0,943,0,248,1191,248,943,3.5901124477386475,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.9999998807907104,3.095948386544478e-06,0.9998711347579956,0.0015705091645941138
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,509,Weighted BCE,18,0.8091308084323252,463,1759,3.799136069114471,23,0.61,,,,,,,,0.7148603030955972,0.7984886649874056,0.7315854513734479,0.43419927473281045,0.8266770430677658,0.5556742524282631,0.1658492251895394,0.1876290666141198,0.5045587994673962,0.39585748314857483,0.26778411865234375,,,,,False,False,798,145,95,153,1191,248,943,9.499292850494385,0.8936170212765957,0.8462354188759279,0.869281045751634,0.5134228187919463,0.6169354838709677,0.5604395604395604,0.5930232558139535,0.32896119356155396,0.23421694338321686,0.650225043296814,0.2325141280889511
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,613,Soft-F2,1,0.43465398198409044,463,1759,3.799136069114471,6,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.43672390791229093,0.18822647749950175,0.7917716441043694,0.7917622029531113,12.606518014335247,0.9999905824661255,0.000217137741856277,,,,,False,True,0,943,0,248,1191,248,943,3.462398052215576,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,2.1319151244370005e-07,0.9999544620513916,0.00047411530977115035
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,613,Weighted BCE,9,0.8747787612805263,463,1759,3.799136069114471,14,0.61,,,,,,,,0.697428131646982,0.7858942065491183,0.7132307665993911,0.39934065816190323,0.8031077891424075,0.5232223038199103,0.17615134397506665,0.1946932003089703,0.5321148834977707,0.40292155742645264,0.2640363574028015,,,,,False,False,790,153,102,146,1191,248,943,6.2248663902282715,0.8856502242152466,0.8377518557794273,0.8610354223433242,0.4882943143812709,0.5887096774193549,0.5338208409506399,0.5654531371030209,0.34208419919013977,0.23466965556144714,0.6342507600784302,0.2404501587152481
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,719,Soft-F2,2,0.43194253496128876,463,1759,3.799136069114471,7,0.5,,,,,,,,0.1723419041000695,0.20822837951301426,0.5,0.0,0.47485076796770775,0.20008902783820284,0.7917716134816044,0.7917716204869858,12.619767361220113,1.0,1.0208415233137202e-06,,,,,True,True,0,943,0,248,1191,248,943,3.8375911712646484,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,1.0,1.3204468984895357e-07,0.9999997615814209,2.2087988327257335e-06
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,719,Weighted BCE,14,0.8032615480663108,463,1759,3.799136069114471,19,0.58,,,,,,,,0.7494690271491677,0.8178001679261125,0.7779564191153834,0.5087169966482242,0.8444309513221361,0.6249646597808282,0.15145422312044177,0.15500754826427704,0.47880061214431435,0.3632359504699707,0.3140215575695038,,,,,False,False,798,145,72,176,1191,248,943,8.160545349121094,0.9172413793103448,0.8462354188759279,0.8803088803088803,0.5482866043613707,0.7096774193548387,0.6186291739894552,0.6702208682406702,0.2773197591304779,0.2593131959438324,0.6899253129959106,0.28824153542518616
